ANTE	"before"	
PER	"through","because of", "thanks to"
AD	"to", "toward"	
PROPTER	"on account of"
CIRCUM	"around"	
SUPER	"above"
CONTRA	"against"	
VERSUS	"against"
INTER	"between"	
EXTRA	"outside of"
INTRA	"within"	
TRANS	"across"
POST	"after", "behind"	
SUB	"under (with verbs of motion)"
IN	"into","onto"	
OB	"on account of"
PRAETER	"beyond", "except for"	
