amo	amare	amavi	amatum	love
timeo	timere	timui	-	be afraid
rego	regere	rexi	rectum	rule
admitto	admittere	admisi	admissum	receive
-	coepisse	coepi	coeptum	began
cupio	cupere	cupivi	cupitum	desire
deleo	delere	delevi	deletum	erase
desidero	desiderare	desideravi	desideratum	desire
incipio	incipere	incepi	inceptum	begin
navigo	navigare	navigavi	navigatum	navigate
neglego	neglegere	neglexi	neglectum	neglect
recito	recitare	recitavi	recitatum	recite
fluo	fluere	fluxi	fluxum	flow
lego	legere	legi	lectum	choose, read
misceo	miscere	miscui	mixtum	mix
moveo	movere	movi	motum	move
videor	videri	visus sum	-	seem
delecto	delectare	delectavi	delectatum	please
libero	liberare	liberavi	liberatum	free/liberate
paro	parare	paravi	paratum	prepare
careo	carere	carui	cariturum	be free (from)
defendo	defendere	defendi	defensum	defend/protect
discedo	discedere	discessi	discessum	depart
-	odisse	odi	os(ur)um	hate
prohibeo	prohibere	prohibui	SUPprohibitum	prevent/hinder/restrain/prohibit
pronuntio	pronuntiare	pronuntiavi	pronuntiatum	proclaim
contineo	continere	continui	contentum	contain/restrain
iubeo	iubere	iussi	iussum	order
laboro	laborare	laboravi	laboratum	labor/work
relinquo	relinquere	reliqui	relictum	leave
scio	scire	scivi	scitum	know
tango	tangere	tetigi	tactum	touch
cerno	cernere	crevi	cretum	discern
eripio	eripere	eripui	ereptum	snatch away
inquit	-	-	-	he said
tollo	tollere	sustuli	sublatum	lift, destroy
educo	educare	educavi	educatum	educate
gaudeo	gaudere	gavisus sum	-	rejoice
ostendo	ostendere	ostendi	ostentum	display
peto	petere	petivi	petitum	aim at, attack
premo	premere	pressi	pressum	press
opprimo	opprimere	oppressi	oppressum	suppress
verto	vertere	verti	versum	turn, change
accipio	accipere	accepi	acceptum	accept
excipio	excipere	excepi	exceptum	capture
recipio	recipere	recepi	receptum	take back
pello	pellere	pepuli	pulsum	strike
expello	expellere	expuli	expulsum	drive out
narro	narrare	narravi	narratum	report
quaero	quaerere	quaesivi	quaesitum	look for
rideo	ridere	risi	risum	laugh
ait/aiunt	-	-	-	he says
credo	credere	credidi	creditum	believe/trust
iaceo	iacere	iacui	SUPiacitum	lie
nego	negare	negavi	negatum	deny
nescio	nescire	nescivi	nescitum	be ignorant
nuntio	nuntiare	nuntiavi	nuntiatum	report
patefacio	patefacere	patefeci	patefactum	open/disclose
puto	putare	putavi	putatum	clean/think
spero	sperare	speravi	speratum	hope
suscipio	suscipere	suscepi	susceptum	undertake
invito	invitare	invitavi	invitatum	invite
pono	ponere	posui	positum	place
probo	probare	probavi	probatum	approve
cedo	cedere	cessi	cessum	go/submit
dedico	dedicare	dedicavi	dedicatum	dedicate
egeo	egere	egui	-	need/lack
expleo	explere	explevi	expletum	fill
praesto	praestare	praestiti	SUPpraestitum	excel
taceo	tacere	tacui	tacitum	be silent
condo	condere	condidi	conditum	establish
contendo	contendere	contendi	contenditum	strive, hasten
mollio	mollire	mollivi	mollitum	soften
pugno	pugnare	pugnavi	pugnatum	fight
respondeo	respondere	respondi	responsum	answer
surgo	surgere	surrexi	surrectum	arise
bibo	bibere	bibi	SUPbibitum	drink
cognosco	cognoscere	cognovi	cognitum	recognize
comprehendo	comprehendere	comprehendi	comprehensum	understand
consumo	consumere	consumpsi	consumptum	consume
dubito	dubitare	dubitavi	dubitatum	doubt, hesitate
expono	exponere	exposui	expositum	set forth/expose
minuo	minuere	minui	minutum	diminish
rogo	rogare	rogavi	rogatum	ask
nosco	noscere	novi	notus	know
-	meminisse	memini	-	remember
