ac
ANTE	before
PER	through, because of
AD	to, toward
PROPTER	on account of
CIRCUM	around
CONTRA	against
VERSUS	against
INTER	between
EXTRA	outside of
INTRA	within
TRANS	across
POST	after, behind
SUB	under
OB	on account of
PRAETER	except for
ab
A(AB)	from, by
SINE	without
DE	down from, about
PRO	for
CUM	with
PRAE	before, in front of
E(EX)	out from
SUB	under
b
IN	in, on/into, onto
SUPER	above
